City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port elizabeth,-33.918,25.5701,18.51,72,0,2.68,ZA,1699734004
83,palang,23.2167,90.35,22.41,70,0,3.1,BD,1699734147
84,la'ie,21.6477,-157.9253,28.98,73,22,2.68,US,1699734148
85,alice springs,-23.7,133.8833,25.75,57,40,4.12,AU,1699734152
86,ubari,26.5921,12.7805,22.67,24,0,2.28,LY,1699734153
87,tura,25.5198,90.2201,18.09,87,0,1.74,IN,1699733867
88,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,98,75,7.0,RU,1699734155
89,atar,20.5169,-13.0499,26.42,15,46,3.52,MR,1699734156
90,woolgoolga,-30.1106,153.2007,20.93,88,11,4.94,AU,1699734157
91,goure,13.9835,10.2704,29.07,15,67,3.47,NE,1699734158
92,uturoa,-16.7333,-151.4333,27.06,82,93,5.32,PF,1699734159
93,thompson,55.7435,-97.8558,2.09,75,75,4.12,CA,1699734079
94,sabzevar,36.2126,57.6819,13.44,56,0,3.27,IR,1699734160
95,ulety,51.3572,112.4849,-14.38,96,11,1.71,RU,1699734161
96,mar del plata,-38.0023,-57.5575,24.9,68,0,5.14,AR,1699734162
97,zaragoza,41.6561,-0.8773,20.27,64,87,8.23,ES,1699734075
98,salalah,17.0151,54.0924,27.05,69,0,1.03,OM,1699734165
99,batticaloa,7.7102,81.6924,26.07,87,100,1.95,LK,1699734166
100,alpine,32.835,-116.7664,26.63,11,0,1.79,US,1699734167
101,kudahuvadhoo,2.6708,72.8944,28.0,76,72,2.95,MV,1699734168
102,talnakh,69.4865,88.3972,-6.55,95,100,3.5,RU,1699734156
103,port alfred,-33.5906,26.891,18.43,85,34,2.24,ZA,1699734170
104,vorkuta,67.5,64.0,-6.71,96,100,3.66,RU,1699734171
105,st. john's,47.5649,-52.7093,3.42,92,100,10.29,CA,1699734172
106,salinas,36.6777,-121.6555,25.0,35,0,3.6,US,1699734103
107,san antonio oeste,-40.7319,-64.9477,25.9,21,100,18.5,AR,1699734174
108,makubetsu,45.3714,141.8211,-1.77,95,99,1.34,JP,1699734175
109,ingeniero jacobacci,-41.3427,-69.5448,7.83,31,80,15.55,AR,1699733933
110,chulakkurgan,43.765,69.1814,6.3,58,5,7.49,KZ,1699734176
111,hithadhoo,-0.6,73.0833,27.21,83,28,4.8,MV,1699734177
112,qusmuryn,52.4503,64.6311,5.95,82,99,3.91,KZ,1699734178
113,upington,-28.4478,21.2561,25.21,18,38,6.17,ZA,1699734179
114,cole harbour,44.6724,-63.4751,4.96,82,87,5.66,CA,1699734180
115,greenville,35.6127,-77.3663,12.09,86,100,1.54,US,1699733794
116,aldama,22.9167,-98.0667,21.94,71,100,2.43,MX,1699734182
117,punta cardon,11.6581,-70.215,29.29,73,100,12.21,VE,1699734106
118,arraial do cabo,-22.9661,-42.0278,26.92,74,0,7.2,BR,1699734183
119,papao,-17.75,-149.55,30.82,78,67,5.59,PF,1699734184
120,atherton,53.5237,-2.4935,5.79,89,10,0.45,GB,1699734185
121,bayganin,48.6947,55.8742,3.95,74,74,5.47,KZ,1699734140
122,port-gentil,-0.7193,8.7815,25.98,94,20,2.06,GA,1699734187
123,haiku-pauwela,20.9219,-156.3051,27.01,63,40,9.26,US,1699733902
124,usogorsk,63.4106,48.6872,0.37,96,100,2.43,RU,1699734188
125,assab,13.0092,42.7394,27.65,78,28,9.8,ER,1699734190
126,mogadishu,2.0371,45.3438,27.25,79,100,5.53,SO,1699734191
127,hawaiian paradise park,19.5933,-154.9731,24.37,94,100,2.57,US,1699734192
128,nar'yan-mar,67.6713,53.087,-8.83,95,20,3.13,RU,1699734193
129,camana,-16.6228,-72.7111,19.89,88,99,3.42,PE,1699734194
130,atafu village,-8.5421,-172.5159,28.62,77,93,3.71,TK,1699734194
131,longyearbyen,78.2186,15.6401,-4.09,63,75,5.14,SJ,1699734195
132,sandomierz,50.6827,21.749,8.4,92,100,0.89,PL,1699734196
133,klyuchi,52.2667,79.1667,4.63,81,100,5.39,RU,1699734197
134,buala,-8.145,159.5921,26.52,87,100,3.52,SB,1699734198
135,whitehorse,60.7161,-135.0538,-0.55,92,75,3.6,CA,1699734198
136,san sebastian de la gomera,28.0916,-17.1133,23.54,83,0,3.09,ES,1699734199
137,yarmouth,41.7057,-70.2286,10.57,61,0,7.6,US,1699734034
138,viedma,-40.8135,-62.9967,28.71,16,64,12.07,AR,1699734201
139,bay roberts,47.5999,-53.2648,3.62,90,100,2.24,CA,1699734202
140,gorom-gorom,14.4439,-0.2361,30.94,9,39,3.52,BF,1699734203
141,utrik,11.2278,169.8474,27.63,83,100,8.27,MH,1699734204
142,ulladulla,-35.35,150.4667,15.58,80,92,1.61,AU,1699734204
143,nemuro,43.3236,145.575,1.52,71,4,5.82,JP,1699734205
144,acajutla,13.5928,-89.8275,29.29,74,36,1.69,SV,1699734206
145,corner brook,48.9667,-57.9484,2.09,90,100,3.28,CA,1699734207
146,tiksi,71.6872,128.8694,-11.37,88,100,7.28,RU,1699734208
147,zeya,53.75,127.2667,-12.51,74,100,1.85,RU,1699734208
148,ndele,8.4109,20.6473,22.8,91,99,1.42,CF,1699734209
149,lospalos,-8.5186,127.0025,20.95,90,4,0.73,TL,1699734210
150,turpan,42.9333,89.1667,6.65,31,22,1.42,CN,1699734211
151,san andres,12.5847,-81.7006,28.01,78,40,4.12,CO,1699734212
152,wailua homesteads,22.0669,-159.378,28.24,80,100,6.17,US,1699734213
153,dampit,-8.2116,112.7493,21.75,97,68,0.74,ID,1699734214
154,nizhnesortymskiy,62.4397,71.7603,-0.33,99,100,6.18,RU,1699734215
155,carnarvon,-24.8667,113.6333,20.8,80,80,6.71,AU,1699734217
156,mejit,10.2753,170.8646,27.77,81,100,7.66,MH,1699734218
157,tamanrasset,22.785,5.5228,20.95,11,0,2.57,DZ,1699734218
158,kabare,-2.4683,28.8242,17.23,99,100,1.03,CD,1699734219
159,rio grande,-32.035,-52.0986,24.06,81,49,6.45,BR,1699734220
160,nacala,-14.5428,40.6728,24.45,77,10,2.9,MZ,1699734221
161,hammerfest,70.6634,23.6821,-3.75,74,20,2.06,NO,1699734222
162,mesquite,32.7668,-96.5992,18.16,58,100,2.57,US,1699734019
163,elliot lake,46.3834,-82.6331,1.13,68,98,1.42,CA,1699734223
164,wusong,30.95,117.7833,9.13,91,100,4.94,CN,1699734224
165,mount isa,-20.7333,139.5,20.87,94,14,2.57,AU,1699734226
166,fort saskatchewan,53.7168,-113.2187,9.44,52,100,1.54,CA,1699734227
167,choyr,46.3611,108.3611,-15.81,86,4,2.02,MN,1699734169
168,flekkefjord,58.2971,6.6607,3.86,85,99,2.01,NO,1699734229
169,iwaki,37.05,140.8833,7.79,72,100,1.35,JP,1699734229
170,sandnessjoen,66.0217,12.6316,-0.71,67,0,6.84,NO,1699734230
171,anadyr,64.75,177.4833,-17.72,84,20,4.0,RU,1699734231
172,maceio,-9.6658,-35.7353,27.69,69,20,4.63,BR,1699734232
173,achacachi,-16.05,-68.6833,13.51,59,59,4.52,BO,1699734233
174,arecibo,18.4724,-66.7157,31.67,80,100,0.45,PR,1699734212
175,roding,49.1964,12.5186,3.9,89,94,3.34,DE,1699734234
176,ghat,24.9647,10.1728,23.03,16,0,3.1,LY,1699734235
177,abadeh,31.1608,52.6506,11.66,30,4,0.99,IR,1699734236
178,hailey,43.5196,-114.3153,9.39,53,0,5.14,US,1699734244
179,harper,4.375,-7.7169,25.78,87,66,2.99,LR,1699734245
180,bathsheba,13.2167,-59.5167,26.34,89,75,12.35,BB,1699734245
181,noosa heads,-26.3833,153.15,20.06,63,95,2.91,AU,1699734246
182,saudarkrokur,65.7461,-19.6394,-0.93,73,99,1.77,IS,1699734247
183,whakatane,-37.9585,176.9854,18.27,76,33,0.89,NZ,1699734248
184,touros,-5.1989,-35.4608,26.77,68,5,6.18,BR,1699734249
